storm,plan,river,removal_k10_g,removal_km_g,removal_k90_g,order,percentRest,k10_percentWLR,km_percentWLR,k90_percentWLR,k10_percentOLR,km_percentOLR,k90_percentOLR,rank
Q2,3rd-100p,3-1,626.693,5705.711,121597.125,3rd,100,0.016,0.143,3.05,0.092,0.839,17.871,1
Q2,3rd-100p,4-1,717.359,6527.912,139119.435,4th,100,0.018,0.164,3.49,0.02,0.18,3.843,1
Q2,3rd-20p,1-7,12.735,115.949,2471.04,1st,20,0,0.003,0.062,0.009,0.082,1.741,1
Q2,3rd-20p,2-2,30.963,281.898,6007.658,2nd,20,0.001,0.007,0.151,0.026,0.234,4.982,1
Q2,3rd-20p,3-1,164.368,1496.483,31892.25,3rd,20,0.004,0.038,0.8,0.024,0.22,4.687,1
Q2,3rd-20p,4-1,690.007,6279.174,133818.457,4th,20,0.017,0.158,3.357,0.019,0.173,3.696,1
Q2,3rd-40p,1-7,12.735,115.949,2471.04,1st,40,0,0.003,0.062,0.009,0.082,1.741,1
Q2,3rd-40p,2-2,30.963,281.898,6007.658,2nd,40,0.001,0.007,0.151,0.026,0.234,4.982,1
Q2,3rd-40p,3-1,239.912,2184.277,46550.156,3rd,40,0.006,0.055,1.168,0.035,0.321,6.841,1
Q2,3rd-40p,4-1,695.579,6329.805,134897.49,4th,40,0.017,0.159,3.384,0.019,0.175,3.726,1
Q2,3rd-60p,1-7,12.735,115.949,2471.04,1st,60,0,0.003,0.062,0.009,0.082,1.741,1
Q2,3rd-60p,2-2,30.963,281.898,6007.658,2nd,60,0.001,0.007,0.151,0.026,0.234,4.982,1
Q2,3rd-60p,3-1,354.131,3224.174,68711.906,3rd,60,0.009,0.081,1.724,0.052,0.474,10.098,1
Q2,3rd-60p,4-1,703.978,6406.281,136527.3,4th,60,0.018,0.161,3.425,0.019,0.177,3.771,1
Q2,3rd-80p,1-7,12.735,115.949,2471.04,1st,80,0,0.003,0.062,0.009,0.082,1.741,1
Q2,3rd-80p,2-2,31.067,282.845,6027.84,2nd,80,0.001,0.007,0.151,0.026,0.235,4.999,1
Q2,3rd-80p,3-1,490.887,4469.272,95246.775,3rd,80,0.012,0.112,2.389,0.072,0.657,13.998,1
Q2,3rd-80p,4-1,712.484,6483.621,138175.538,4th,80,0.018,0.163,3.466,0.02,0.179,3.817,1
Q2,unr,1-7,12.735,115.949,2471.04,1st,0,0,0.003,0.062,0.009,0.082,1.741,1
Q2,unr,2-2,30.98,282.056,6011.021,2nd,0,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,unr,3-1,98.24,894.424,19061.494,3rd,0,0.002,0.022,0.478,0.014,0.131,2.801,1
Q2,unr,4-1,686.102,6243.626,133060.882,4th,0,0.017,0.157,3.338,0.019,0.172,3.676,1
Q1,3rd-100p,1-7,3.814,34.724,740.025,1st,100,0,0.001,0.02,0.004,0.034,0.719,2
Q1,3rd-100p,2-2,10.957,99.753,2125.89,2nd,100,0,0.003,0.058,0.009,0.079,1.686,2
Q1,3rd-100p,3-1,565.689,5150.306,109760.625,3rd,100,0.015,0.141,3.004,0.083,0.757,16.131,2
Q1,3rd-100p,4-1,412.75,3755.764,80040.87,4th,100,0.011,0.103,2.191,0.014,0.13,2.781,2
Q1,3rd-20p,1-7,3.814,34.724,740.025,1st,20,0,0.001,0.02,0.004,0.034,0.719,2
Q1,3rd-20p,2-2,10.818,98.491,2098.98,2nd,20,0,0.003,0.057,0.009,0.078,1.664,2
Q1,3rd-20p,3-1,100.318,913.342,19464.656,3rd,20,0.003,0.025,0.533,0.015,0.134,2.861,2
Q1,3rd-20p,4-1,404.562,3681.306,78454.057,4th,20,0.011,0.101,2.147,0.014,0.128,2.726,2
Q1,3rd-40p,1-7,3.814,34.724,740.025,1st,40,0,0.001,0.02,0.004,0.034,0.719,2
Q1,3rd-40p,2-2,10.818,98.491,2098.98,2nd,40,0,0.003,0.057,0.009,0.078,1.664,2
Q1,3rd-40p,3-1,167.012,1520.558,32405.344,3rd,40,0.005,0.042,0.887,0.025,0.223,4.762,2
Q1,3rd-40p,4-1,408.044,3713.011,79129.732,4th,40,0.011,0.102,2.166,0.014,0.129,2.749,2
Q1,3rd-60p,1-7,3.814,34.724,740.025,1st,60,0,0.001,0.02,0.004,0.034,0.719,2
Q1,3rd-60p,2-2,10.922,99.438,2119.163,2nd,60,0,0.003,0.058,0.009,0.079,1.68,2
Q1,3rd-60p,3-1,285.547,2599.755,55404.619,3rd,60,0.008,0.071,1.517,0.042,0.382,8.143,2
Q1,3rd-60p,4-1,405.047,3685.629,78546.195,4th,60,0.011,0.101,2.15,0.014,0.128,2.729,2
Q1,3rd-80p,1-7,3.814,34.724,740.025,1st,80,0,0.001,0.02,0.004,0.034,0.719,2
Q1,3rd-80p,2-2,10.957,99.753,2125.89,2nd,80,0,0.003,0.058,0.009,0.079,1.686,2
Q1,3rd-80p,3-1,425.661,3875.425,82591.031,3rd,80,0.012,0.106,2.261,0.063,0.57,12.138,2
Q1,3rd-80p,4-1,412.413,3752.69,79975.35,4th,80,0.011,0.103,2.189,0.014,0.13,2.778,2
Q1,unr,1-7,3.814,34.724,740.025,1st,0,0,0.001,0.02,0.004,0.034,0.719,2
Q1,unr,2-2,10.835,98.648,2102.344,2nd,0,0,0.003,0.058,0.009,0.078,1.667,2
Q1,unr,3-1,48.312,439.852,9373.894,3rd,0,0.001,0.012,0.257,0.007,0.065,1.378,2
Q1,unr,4-1,393.735,3582.829,76355.37,4th,0,0.011,0.098,2.09,0.014,0.124,2.653,2
Q0.5,3rd-100p,1-7,1.393,12.682,270.27,1st,100,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,3rd-100p,2-2,0,0,0,2nd,100,0,0,0,0,0,0,3
Q0.5,3rd-100p,3-1,430.919,3923.291,83611.125,3rd,100,0.022,0.201,4.288,0.063,0.577,12.288,3
Q0.5,3rd-100p,4-1,0,0,0,4th,100,0,0,0,0,0,0,3
Q0.5,3rd-20p,1-7,1.393,12.682,270.27,1st,20,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,3rd-20p,2-2,0,0,0,2nd,20,0,0,0,0,0,0,3
Q0.5,3rd-20p,3-1,32.954,300.028,6394.05,3rd,20,0.002,0.015,0.328,0.005,0.044,0.94,3
Q0.5,3rd-20p,4-1,19.206,174.856,3726.45,4th,20,0.001,0.009,0.191,0.001,0.01,0.21,3
Q0.5,3rd-40p,1-7,1.393,12.682,270.27,1st,40,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,3rd-40p,2-2,0,0,0,2nd,40,0,0,0,0,0,0,3
Q0.5,3rd-40p,3-1,88.025,801.426,17079.562,3rd,40,0.005,0.041,0.876,0.013,0.118,2.51,3
Q0.5,3rd-40p,4-1,21.211,193.111,4115.475,4th,40,0.001,0.01,0.211,0.001,0.011,0.232,3
Q0.5,3rd-60p,1-7,1.393,12.682,270.27,1st,60,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,3rd-60p,2-2,0,0,0,2nd,60,0,0,0,0,0,0,3
Q0.5,3rd-60p,3-1,178.073,1621.266,34551.562,3rd,60,0.009,0.083,1.772,0.026,0.238,5.078,3
Q0.5,3rd-60p,4-1,11.903,108.373,2309.58,4th,60,0.001,0.006,0.118,0.001,0.006,0.13,3
Q0.5,3rd-80p,1-7,1.393,12.682,270.27,1st,80,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,3rd-80p,2-2,0,0,0,2nd,80,0,0,0,0,0,0,3
Q0.5,3rd-80p,3-1,303.07,2759.297,58804.688,3rd,80,0.016,0.142,3.016,0.045,0.406,8.642,3
Q0.5,3rd-80p,4-1,0,0,0,4th,80,0,0,0,0,0,0,3
Q0.5,unr,1-7,0,0,0,1st,0,0,0,0,0,0,0,3
Q0.5,unr,2-2,0.052,0.474,10.091,2nd,0,0,0,0.001,0,0.001,0.014,3
Q0.5,unr,3-1,0.317,2.882,61.425,3rd,0,0,0,0.003,0,0,0.009,3
Q0.5,unr,4-1,5.129,46.692,995.085,4th,0,0,0.002,0.051,0,0.003,0.056,3
Qm,3rd-100p,1-7,0,0,0,1st,100,0,0,0,0,0,0,4
Qm,3rd-100p,2-2,0,0,0,2nd,100,0,0,0,0,0,0,4
Qm,3rd-100p,3-1,0,0,0,3rd,100,0,0,0,0,0,0,4
Qm,3rd-100p,4-1,0,0,0,4th,100,0,0,0,0,0,0,4
Qm,3rd-20p,1-7,0,0,0,1st,20,0,0,0,0,0,0,4
Qm,3rd-20p,2-2,0,0,0,2nd,20,0,0,0,0,0,0,4
Qm,3rd-20p,3-1,0,0,0,3rd,20,0,0,0,0,0,0,4
Qm,3rd-20p,4-1,0,0,0,4th,20,0,0,0,0,0,0,4
Qm,3rd-40p,1-7,0,0,0,1st,40,0,0,0,0,0,0,4
Qm,3rd-40p,2-2,0,0,0,2nd,40,0,0,0,0,0,0,4
Qm,3rd-40p,3-1,0,0,0,3rd,40,0,0,0,0,0,0,4
Qm,3rd-40p,4-1,0,0,0,4th,40,0,0,0,0,0,0,4
Qm,3rd-60p,1-7,0,0,0,1st,60,0,0,0,0,0,0,4
Qm,3rd-60p,2-2,0,0,0,2nd,60,0,0,0,0,0,0,4
Qm,3rd-60p,3-1,0,0,0,3rd,60,0,0,0,0,0,0,4
Qm,3rd-60p,4-1,0,0,0,4th,60,0,0,0,0,0,0,4
Qm,3rd-80p,1-7,0,0,0,1st,80,0,0,0,0,0,0,4
Qm,3rd-80p,2-2,0,0,0,2nd,80,0,0,0,0,0,0,4
Qm,3rd-80p,3-1,0,0,0,3rd,80,0,0,0,0,0,0,4
Qm,3rd-80p,4-1,0,0,0,4th,80,0,0,0,0,0,0,4
Qm,unr,1-7,0,0,0,1st,0,0,0,0,0,0,0,4
Qm,unr,2-2,0,0,0,2nd,0,0,0,0,0,0,0,4
Qm,unr,3-1,0,0,0,3rd,0,0,0,0,0,0,0,4
Qm,unr,4-1,0,0,0,4th,0,0,0,0,0,0,0,4
Q2,4th-100p,1-7,12.735,115.949,2471.04,1st,100,0,0.003,0.062,0.009,0.082,1.741,1
Q2,4th-100p,2-2,30.98,282.056,6011.021,2nd,100,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,4th-100p,3-1,97.901,891.336,18995.681,3rd,100,0.002,0.022,0.477,0.014,0.131,2.792,1
Q2,4th-100p,4-1,3091.832,28139.803,599700.725,4th,100,0.078,0.706,15.044,0.085,0.777,16.565,1
Q2,4th-20p,1-7,12.735,115.949,2471.04,1st,20,0,0.003,0.062,0.009,0.082,1.741,1
Q2,4th-20p,2-2,30.98,282.056,6011.021,2nd,20,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,4th-20p,3-1,97.901,891.336,18995.681,3rd,20,0.002,0.022,0.477,0.014,0.131,2.792,1
Q2,4th-20p,4-1,1042.562,9489.008,202224.75,4th,20,0.026,0.238,5.073,0.029,0.262,5.586,1
Q2,4th-40p,1-7,12.735,115.949,2471.04,1st,40,0,0.003,0.062,0.009,0.082,1.741,1
Q2,4th-40p,2-2,30.98,282.056,6011.021,2nd,40,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,4th-40p,3-1,97.901,891.336,18995.681,3rd,40,0.002,0.022,0.477,0.014,0.131,2.792,1
Q2,4th-40p,4-1,1457.548,13267.523,282750.487,4th,40,0.037,0.333,7.093,0.04,0.366,7.81,1
Q2,4th-60p,1-7,12.735,115.949,2471.04,1st,60,0,0.003,0.062,0.009,0.082,1.741,1
Q2,4th-60p,2-2,30.98,282.056,6011.021,2nd,60,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,4th-60p,3-1,97.901,891.336,18995.681,3rd,60,0.002,0.022,0.477,0.014,0.131,2.792,1
Q2,4th-60p,4-1,1928.329,17553.932,374100.188,4th,60,0.048,0.44,9.384,0.053,0.485,10.334,1
Q2,4th-80p,1-7,12.735,115.949,2471.04,1st,80,0,0.003,0.062,0.009,0.082,1.741,1
Q2,4th-80p,2-2,30.98,282.056,6011.021,2nd,80,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,4th-80p,3-1,97.901,891.336,18995.681,3rd,80,0.002,0.022,0.477,0.014,0.131,2.792,1
Q2,4th-80p,4-1,2494.427,22708.049,483942.03,4th,80,0.063,0.57,12.14,0.069,0.627,13.368,1
Q2,unr,1-7,12.735,115.949,2471.04,1st,0,0,0.003,0.062,0.009,0.082,1.741,1
Q2,unr,2-2,30.98,282.056,6011.021,2nd,0,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,unr,3-1,98.24,894.424,19061.494,3rd,0,0.002,0.022,0.478,0.014,0.131,2.801,1
Q2,unr,4-1,686.102,6243.626,133060.882,4th,0,0.017,0.157,3.338,0.019,0.172,3.676,1
Q1,4th-100p,1-7,3.814,34.724,740.025,1st,100,0,0.001,0.02,0.004,0.034,0.719,2
Q1,4th-100p,2-2,10.835,98.648,2102.344,2nd,100,0,0.003,0.058,0.009,0.078,1.667,2
Q1,4th-100p,3-1,48.21,438.926,9354.15,3rd,100,0.001,0.012,0.256,0.007,0.065,1.375,2
Q1,4th-100p,4-1,2838.676,25835.543,550593.55,4th,100,0.078,0.707,15.071,0.099,0.898,19.128,2
Q1,4th-20p,1-7,3.814,34.724,740.025,1st,20,0,0.001,0.02,0.004,0.034,0.719,2
Q1,4th-20p,2-2,10.835,98.648,2102.344,2nd,20,0,0.003,0.058,0.009,0.078,1.667,2
Q1,4th-20p,3-1,48.187,438.72,9349.762,3rd,20,0.001,0.012,0.256,0.007,0.064,1.374,2
Q1,4th-20p,4-1,710.236,6464.309,137763.957,4th,20,0.019,0.177,3.771,0.025,0.225,4.786,2
Q1,4th-40p,1-7,3.814,34.724,740.025,1st,40,0,0.001,0.02,0.004,0.034,0.719,2
Q1,4th-40p,2-2,10.835,98.648,2102.344,2nd,40,0,0.003,0.058,0.009,0.078,1.667,2
Q1,4th-40p,3-1,48.187,438.72,9349.762,3rd,40,0.001,0.012,0.256,0.007,0.064,1.374,2
Q1,4th-40p,4-1,1117.251,10170.355,216745.263,4th,40,0.031,0.278,5.933,0.039,0.353,7.53,2
Q1,4th-60p,1-7,3.814,34.724,740.025,1st,60,0,0.001,0.02,0.004,0.034,0.719,2
Q1,4th-60p,2-2,10.835,98.648,2102.344,2nd,60,0,0.003,0.058,0.009,0.078,1.667,2
Q1,4th-60p,3-1,48.187,438.72,9349.762,3rd,60,0.001,0.012,0.256,0.007,0.064,1.374,2
Q1,4th-60p,4-1,1616.47,14715.579,313610.7,4th,60,0.044,0.403,8.584,0.056,0.511,10.895,2
Q1,4th-80p,1-7,3.814,34.724,740.025,1st,80,0,0.001,0.02,0.004,0.034,0.719,2
Q1,4th-80p,2-2,10.835,98.648,2102.344,2nd,80,0,0.003,0.058,0.009,0.078,1.667,2
Q1,4th-80p,3-1,48.187,438.72,9349.762,3rd,80,0.001,0.012,0.256,0.007,0.064,1.374,2
Q1,4th-80p,4-1,2200.48,20032.78,426928.093,4th,80,0.06,0.548,11.686,0.076,0.696,14.832,2
Q1,unr,1-7,3.814,34.724,740.025,1st,0,0,0.001,0.02,0.004,0.034,0.719,2
Q1,unr,2-2,10.835,98.648,2102.344,2nd,0,0,0.003,0.058,0.009,0.078,1.667,2
Q1,unr,3-1,48.312,439.852,9373.894,3rd,0,0.001,0.012,0.257,0.007,0.065,1.378,2
Q1,unr,4-1,393.735,3582.829,76355.37,4th,0,0.011,0.098,2.09,0.014,0.124,2.653,2
Q0.5,4th-100p,1-7,1.393,12.682,270.27,1st,100,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,4th-100p,2-2,0.052,0.474,10.091,2nd,100,0,0,0.001,0,0.001,0.014,3
Q0.5,4th-100p,3-1,0,0,0,3rd,100,0,0,0,0,0,0,3
Q0.5,4th-100p,4-1,2176.281,19806.464,422104.963,4th,100,0.112,1.016,21.648,0.123,1.119,23.838,3
Q0.5,4th-20p,1-7,1.393,12.682,270.27,1st,20,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,4th-20p,2-2,0.052,0.474,10.091,2nd,20,0,0,0.001,0,0.001,0.014,3
Q0.5,4th-20p,3-1,0,0,0,3rd,20,0,0,0,0,0,0,3
Q0.5,4th-20p,4-1,241.999,2203.273,46954.992,4th,20,0.012,0.113,2.408,0.014,0.124,2.652,3
Q0.5,4th-40p,1-7,1.393,12.682,270.27,1st,40,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,4th-40p,2-2,0.052,0.474,10.091,2nd,40,0,0,0.001,0,0.001,0.014,3
Q0.5,4th-40p,3-1,0,0,0,3rd,40,0,0,0,0,0,0,3
Q0.5,4th-40p,4-1,530.951,4834.029,103020.288,4th,40,0.027,0.248,5.283,0.03,0.273,5.818,3
Q0.5,4th-60p,1-7,1.393,12.682,270.27,1st,60,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,4th-60p,2-2,0.052,0.474,10.091,2nd,60,0,0,0.001,0,0.001,0.014,3
Q0.5,4th-60p,3-1,0,0,0,3rd,60,0,0,0,0,0,0,3
Q0.5,4th-60p,4-1,965.993,8794.866,187431.562,4th,60,0.05,0.451,9.612,0.055,0.497,10.585,3
Q0.5,4th-80p,1-7,1.393,12.682,270.27,1st,80,0,0.001,0.014,0.002,0.014,0.295,3
Q0.5,4th-80p,2-2,0.052,0.474,10.091,2nd,80,0,0,0.001,0,0.001,0.014,3
Q0.5,4th-80p,3-1,0,0,0,3rd,80,0,0,0,0,0,0,3
Q0.5,4th-80p,4-1,1517.663,13817.529,294471.938,4th,80,0.078,0.709,15.102,0.086,0.78,16.63,3
Q0.5,unr,1-7,0,0,0,1st,0,0,0,0,0,0,0,3
Q0.5,unr,2-2,0.052,0.474,10.091,2nd,0,0,0,0.001,0,0.001,0.014,3
Q0.5,unr,3-1,0.317,2.882,61.425,3rd,0,0,0,0.003,0,0,0.009,3
Q0.5,unr,4-1,5.129,46.692,995.085,4th,0,0,0.002,0.051,0,0.003,0.056,3
Qm,4th-100p,1-7,0,0,0,1st,100,0,0,0,0,0,0,4
Qm,4th-100p,2-2,0,0,0,2nd,100,0,0,0,0,0,0,4
Qm,4th-100p,3-1,0,0,0,3rd,100,0,0,0,0,0,0,4
Qm,4th-100p,4-1,0,0,0,4th,100,0,0,0,0,0,0,4
Qm,4th-20p,1-7,0,0,0,1st,20,0,0,0,0,0,0,4
Qm,4th-20p,2-2,0,0,0,2nd,20,0,0,0,0,0,0,4
Qm,4th-20p,3-1,0,0,0,3rd,20,0,0,0,0,0,0,4
Qm,4th-20p,4-1,0,0,0,4th,20,0,0,0,0,0,0,4
Qm,4th-40p,1-7,0,0,0,1st,40,0,0,0,0,0,0,4
Qm,4th-40p,2-2,0,0,0,2nd,40,0,0,0,0,0,0,4
Qm,4th-40p,3-1,0,0,0,3rd,40,0,0,0,0,0,0,4
Qm,4th-40p,4-1,0,0,0,4th,40,0,0,0,0,0,0,4
Qm,4th-60p,1-7,0,0,0,1st,60,0,0,0,0,0,0,4
Qm,4th-60p,2-2,0,0,0,2nd,60,0,0,0,0,0,0,4
Qm,4th-60p,3-1,0,0,0,3rd,60,0,0,0,0,0,0,4
Qm,4th-60p,4-1,0,0,0,4th,60,0,0,0,0,0,0,4
Qm,4th-80p,1-7,0,0,0,1st,80,0,0,0,0,0,0,4
Qm,4th-80p,2-2,0,0,0,2nd,80,0,0,0,0,0,0,4
Qm,4th-80p,3-1,0,0,0,3rd,80,0,0,0,0,0,0,4
Qm,4th-80p,4-1,0,0,0,4th,80,0,0,0,0,0,0,4
Qm,unr,1-7,0,0,0,1st,0,0,0,0,0,0,0,4
Qm,unr,2-2,0,0,0,2nd,0,0,0,0,0,0,0,4
Qm,unr,3-1,0,0,0,3rd,0,0,0,0,0,0,0,4
Qm,unr,4-1,0,0,0,4th,0,0,0,0,0,0,0,4
